,age,attrition,businesstravel,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,numcompaniesworked,overtime,performancerating,relationshipsatisfaction,stockoptionlevel,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework
790,50,Yes,No Travel,Sales,1,4,Other,791,2,Female,3,2,Sales Executive,3,Unknown,7,No,3,4,2,3,3,6,0,1,1973,53914.11,Sí
791,36,No,No Travel,Sales,11,4,Marketing,792,2,Male,2,2,Sales Executive,4,Married,4,No,3,1,1,2,2,6,0,0,1987,53914.11,No
792,45,No,No Travel,Sales,20,3,Other,793,4,Male,3,2,Sales Executive,3,Unknown,8,No,3,3,0,3,3,5,0,1,1978,48500.0,Sí
793,40,No,No Travel,Research & Development,2,4,Other,794,3,Male,3,1,Research Scientist,3,Married,2,Unknown,3,2,3,2,3,5,0,2,1983,20010.0,Sí
794,35,No,Travel Rarely,Research & Development,1,4,Other,795,3,Male,1,1,Research Scientist,4,Married,1,No,3,4,1,5,3,4,1,1,1988,28111.13,Sí
795,29,No,Travel Rarely,Research & Development,13,2,Other,796,4,Female,2,2,Laboratory Technician,2,Unknown,4,Unknown,3,1,1,2,3,4,0,3,1994,53914.11,No
796,34,No,No Travel,Research & Development,8,3,Other,797,2,Female,4,2,Laboratory Technician,3,Unknown,2,No,3,1,0,3,4,4,1,2,1989,44040.0,Sí
797,27,No,Travel Rarely,Research & Development,2,1,Other,798,1,Female,3,1,Laboratory Technician,2,Married,9,No,3,4,1,3,3,2,2,2,1996,28111.13,No
798,31,No,No Travel,Research & Development,26,1,Other,799,1,Female,3,1,Research Scientist,3,Divorced,1,Unknown,3,4,1,1,2,5,4,3,1992,28111.13,Sí
799,34,No,Travel Rarely,Research & Development,38,2,Other,800,2,Female,3,1,Laboratory Technician,4,Divorced,0,Unknown,3,3,1,2,3,2,1,2,1989,28111.08,Sí
800,28,Yes,Travel Rarely,Research & Development,24,3,Life Sciences,801,3,Female,2,1,Laboratory Technician,3,Single,5,Yes,3,2,0,4,3,4,0,3,1995,28111.13,Sí
801,32,No,Travel Rarely,Research & Development,5,2,Other,802,1,Female,4,1,Research Scientist,2,Divorced,0,Yes,3,4,2,5,2,6,0,5,1991,28111.13,Sí
802,38,No,No Travel,Research & Development,2,3,Life Sciences,803,4,Female,3,1,Research Scientist,4,Single,5,Yes,3,3,0,3,3,3,1,2,1985,39440.0,Sí
803,24,No,No Travel,Research & Development,11,2,Other,804,1,Male,4,2,Manufacturing Director,3,Unknown,0,No,3,4,1,5,2,4,1,3,1999,53914.11,Sí
804,34,Yes,No Travel,Research & Development,6,1,Other,805,2,Female,3,1,Research Scientist,1,Single,2,No,3,3,0,2,3,4,1,3,1989,29600.0,Sí
805,32,Yes,Travel Frequently,Research & Development,16,1,Other,806,2,Male,1,1,Research Scientist,1,Unknown,1,Unknown,3,2,0,5,3,10,6,7,1991,28111.13,No
806,46,No,Travel Rarely,Sales,2,4,Marketing,807,2,Male,3,5,Manager,1,Single,3,Unknown,3,4,0,2,2,2,2,1,1977,189470.0,No
807,44,No,No Travel,Research & Development,10,4,Other,808,4,Female,3,2,Healthcare Representative,4,Married,2,Unknown,3,4,0,5,4,4,1,3,1979,64650.0,No
808,50,Yes,Travel Rarely,Sales,3,2,Other,809,1,Female,2,1,Sales Representative,3,Married,1,Unknown,3,3,0,2,3,3,0,2,1973,26830.0,Sí
809,35,No,No Travel,Sales,2,3,Marketing,810,4,Male,3,1,Sales Representative,4,Married,1,No,3,1,0,3,3,2,2,2,1988,20140.0,Sí
810,28,Yes,No Travel,Research & Development,5,4,Other,811,3,Female,3,1,Laboratory Technician,3,Single,1,Yes,3,3,0,3,2,2,2,2,1995,34410.0,Sí
811,26,No,No Travel,Sales,22,3,Other,812,22,Male,2,2,Sales Executive,4,Married,7,Yes,3,3,1,2,2,2,0,0,1997,53914.11,No
812,35,No,Travel Rarely,Research & Development,31,4,Other,813,3,Male,3,1,Laboratory Technician,1,Unknown,3,Yes,3,3,1,3,3,2,2,2,1988,28111.13,No
813,35,No,No Travel,Research & Development,31,3,Medical,814,2,Female,3,1,Research Scientist,1,Married,4,No,3,4,1,2,2,3,1,2,1988,28111.08,Sí
814,37,No,Travel Rarely,Research & Development,20,4,Medical,815,1,Female,3,3,Research Director,3,Unknown,4,Unknown,3,1,0,3,4,5,0,2,1986,136640.0,Sí
815,46,No,Travel Rarely,Human Resources,38,2,Medical,816,38,Female,3,2,Human Resources,2,Divorced,8,Yes,4,4,1,2,3,4,0,2,1977,50210.0,Sí
816,34,No,Travel Rarely,Research & Development,1,2,Medical,817,1,Female,3,2,Manufacturing Director,2,Married,1,No,3,3,0,2,3,5,1,3,1989,53914.11,Sí
817,51,No,Travel Rarely,Research & Development,9,4,Other,818,4,Female,3,1,Laboratory Technician,4,Unknown,3,Unknown,4,2,2,4,3,4,0,3,1972,28111.13,Sí
818,24,No,Travel Rarely,Sales,3,2,Other,819,1,Male,3,2,Sales Executive,3,Married,0,No,4,1,1,2,2,3,0,2,1999,53914.11,Sí
819,44,No,No Travel,Research & Development,23,3,Other,820,2,Female,3,2,Laboratory Technician,2,Married,4,Unknown,3,3,1,3,4,3,1,2,1979,53914.11,Sí
820,37,Yes,Travel Rarely,Human Resources,6,4,Human Resources,821,3,Female,3,1,Human Resources,1,Divorced,4,Unknown,4,4,0,3,3,3,0,2,1986,28111.13,Sí
821,59,No,No Travel,Sales,2,4,Human Resources,822,3,Male,2,5,Manager,4,Unknown,9,No,4,4,1,3,3,3,2,2,1964,188440.0,No
822,25,No,No Travel,Research & Development,7,1,Other,823,4,Female,2,1,Research Scientist,4,Married,1,No,3,3,2,2,3,2,2,1,1998,28111.13,Sí
823,43,No,No Travel,Research & Development,26,3,Medical,824,2,Male,4,1,Research Scientist,3,Single,4,Unknown,3,4,0,2,3,3,1,2,1980,47390.04,Sí
824,50,No,Travel Frequently,Sales,12,3,Other,825,3,Male,3,3,Sales Executive,4,Single,4,No,3,4,0,3,3,2,2,1,1973,100071.84,No
825,31,Yes,Travel Rarely,Sales,20,3,Other,826,2,Male,1,2,Sales Executive,3,Unknown,3,Yes,3,3,1,2,3,2,2,2,1992,53914.11,Sí
826,36,No,No Travel,Research & Development,6,2,Medical,827,2,Female,3,2,Manufacturing Director,2,Divorced,6,No,4,4,2,0,3,3,0,1,1987,53914.11,No
827,51,Yes,Travel Frequently,Research & Development,16,4,Other,828,1,Female,1,3,Manufacturing Director,4,Unknown,2,Unknown,3,4,0,2,3,4,0,3,1972,106500.0,No
828,25,No,No Travel,Sales,28,3,Life Sciences,829,1,Female,2,2,Sales Executive,3,Unknown,2,Unknown,3,4,0,3,3,2,2,2,1998,53914.11,No
829,38,No,Travel Rarely,Research & Development,3,5,Technical Degree,830,4,Male,3,2,Research Scientist,3,Unknown,3,Yes,4,2,0,2,3,3,2,2,1985,43170.0,No
830,30,No,Travel Rarely,Research & Development,5,3,Technical Degree,831,4,Male,3,1,Research Scientist,1,Divorced,5,No,3,4,1,3,3,3,2,2,1993,28111.13,Sí
831,22,No,No Travel,Research & Development,36,1,Medical,832,36,Female,3,1,Research Scientist,4,Married,1,No,4,1,2,6,3,2,2,2,2001,28111.08,Sí
832,27,No,No Travel,Research & Development,9,3,Medical,833,4,Female,3,1,Research Scientist,2,Unknown,6,Unknown,3,4,1,1,1,2,2,2,1996,20240.0,Sí
833,28,No,No Travel,Research & Development,21,3,Medical,834,3,Female,3,1,Research Scientist,4,Married,1,No,3,3,1,2,1,5,0,2,1995,28111.13,Sí
834,27,No,No Travel,Research & Development,17,3,Other,835,3,Female,3,1,Research Scientist,2,Unknown,0,Unknown,3,4,1,3,2,5,1,1,1996,30580.0,Sí
835,56,No,Travel Rarely,Research & Development,8,3,Life Sciences,836,3,Male,3,1,Research Scientist,1,Divorced,4,Unknown,3,3,1,3,3,2,2,2,1967,28111.13,Sí
836,38,No,Travel Rarely,Research & Development,9,2,Other,837,3,Male,3,1,Laboratory Technician,4,Single,1,Unknown,3,3,0,3,3,2,2,1,1985,28111.13,Sí
837,31,No,Travel Rarely,Research & Development,12,1,Medical,838,3,Male,3,1,Research Scientist,4,Unknown,8,Unknown,4,3,1,0,3,4,0,2,1992,39290.0,Sí
838,34,No,Travel Rarely,Research & Development,27,2,Medical,839,4,Male,3,1,Research Scientist,2,Unknown,2,No,3,4,0,3,3,3,1,2,1989,28111.08,Sí
839,50,No,No Travel,Research & Development,1,3,Other,840,3,Female,2,1,Laboratory Technician,3,Unknown,2,Unknown,3,4,1,2,2,3,0,2,1973,28111.13,No
840,53,No,No Travel,Research & Development,13,2,Other,841,4,Male,4,2,Manufacturing Director,1,Divorced,1,No,3,3,2,3,3,4,1,3,1970,53914.08,No
841,35,No,Travel Frequently,Research & Development,24,3,Medical,842,2,Male,3,2,Laboratory Technician,2,Single,5,Unknown,3,4,0,5,3,6,1,2,1988,44250.0,Sí
842,27,No,Travel Frequently,Research & Development,1,1,Other,843,3,Female,2,2,Manufacturing Director,1,Married,5,Unknown,3,3,1,1,3,2,2,0,1996,53914.11,No
843,40,No,No Travel,Research & Development,38,2,Other,844,3,Female,3,2,Laboratory Technician,4,Married,8,Unknown,3,3,1,2,4,7,3,7,1983,53914.11,Sí
844,22,No,No Travel,Research & Development,22,3,Life Sciences,845,22,Female,4,1,Research Scientist,2,Unknown,1,Unknown,3,1,1,2,2,4,2,2,2001,23280.0,No
845,40,No,No Travel,Research & Development,10,5,Life Sciences,846,4,Female,2,2,Healthcare Representative,4,Unknown,9,No,3,4,1,5,1,3,0,2,1983,53914.11,Sí
846,46,No,No Travel,Research & Development,1,4,Other,847,4,Female,3,3,Healthcare Representative,1,Unknown,7,No,3,3,1,3,3,4,0,3,1977,100071.84,Sí
847,30,Yes,No Travel,Research & Development,3,3,Technical Degree,848,4,Male,3,1,Research Scientist,1,Unknown,5,Yes,3,3,0,5,3,5,0,4,1993,26570.04,Sí
848,29,Yes,No Travel,Research & Development,1,3,Other,849,3,Female,3,1,Research Scientist,3,Single,0,Unknown,3,4,0,1,2,6,1,5,1994,28111.13,No
849,54,No,No Travel,Sales,3,3,Other,850,4,Male,3,2,Sales Executive,1,Married,2,Unknown,3,4,1,4,3,6,0,5,1969,59400.0,No
850,33,No,Travel Rarely,Research & Development,4,4,Other,851,3,Male,2,1,Research Scientist,2,Married,6,Unknown,4,4,0,3,3,3,1,1,1990,26220.0,Sí
851,52,No,Travel Rarely,Research & Development,2,3,Other,852,3,Male,2,1,Laboratory Technician,4,Single,7,Unknown,3,2,0,3,2,2,2,2,1971,32120.0,Sí
852,59,No,Travel Rarely,Human Resources,6,2,Medical,853,2,Female,3,1,Human Resources,3,Married,8,Unknown,3,4,0,2,2,2,2,2,1964,28111.13,No
853,32,Yes,No Travel,Research & Development,1,3,Other,854,4,Female,2,1,Laboratory Technician,3,Single,0,Unknown,3,4,0,2,1,3,1,2,1991,28111.08,Sí
854,39,No,No Travel,Research & Development,24,4,Medical,855,24,Male,3,1,Laboratory Technician,3,Divorced,7,No,3,3,3,1,3,3,1,2,1984,28111.13,No
855,32,No,No Travel,Sales,26,4,Marketing,856,3,Female,3,2,Sales Executive,4,Unknown,0,No,3,1,0,2,3,3,2,2,1991,53914.11,Sí
856,31,No,No Travel,Research & Development,3,4,Medical,857,2,Female,3,3,Research Director,3,Divorced,9,No,3,1,1,3,3,2,2,2,1992,100071.84,Sí
857,33,No,Travel Rarely,Research & Development,5,4,Life Sciences,858,3,Male,2,1,Research Scientist,4,Married,1,Unknown,3,3,1,2,2,2,0,2,1990,29110.0,Sí
858,45,No,No Travel,Research & Development,23,4,Life Sciences,859,1,Female,4,2,Manufacturing Director,3,Unknown,4,Unknown,3,4,1,1,3,3,0,2,1978,53914.08,Sí
859,42,No,No Travel,Research & Development,17,2,Other,860,4,Male,4,2,Research Scientist,1,Single,3,Yes,3,3,0,1,3,3,0,2,1981,53914.11,Sí
860,29,No,No Travel,Sales,19,2,Marketing,861,4,Female,3,2,Sales Executive,4,Divorced,2,No,3,4,1,2,3,3,0,2,1994,69310.0,No
861,25,No,Travel Rarely,Research & Development,1,3,Other,862,1,Male,3,2,Manufacturing Director,3,Married,0,No,3,4,2,3,3,4,1,2,1998,53914.11,No
862,32,No,No Travel,Research & Development,2,1,Other,863,4,Female,2,2,Laboratory Technician,1,Unknown,4,No,3,4,0,5,3,6,0,4,1991,21760.0,No
863,28,No,Travel Rarely,Research & Development,9,3,Other,864,4,Female,3,1,Research Scientist,4,Married,1,No,4,4,1,3,3,5,0,4,1995,28111.13,Sí
864,21,No,Travel Rarely,Research & Development,3,2,Other,865,4,Female,2,1,Research Scientist,3,Single,1,No,3,1,0,4,4,3,1,0,2002,32300.0,No
865,37,No,No Travel,Research & Development,1,4,Medical,866,1,Male,3,3,Research Director,4,Divorced,2,Yes,3,1,2,2,3,5,0,2,1986,100071.84,No
866,38,No,Travel Rarely,Research & Development,23,4,Life Sciences,867,4,Female,3,2,Healthcare Representative,4,Unknown,9,Unknown,3,2,1,2,3,2,1,2,1985,53914.11,No
867,26,Yes,Travel Rarely,Research & Development,16,4,Medical,868,1,Female,3,1,Laboratory Technician,2,Divorced,2,Yes,3,4,1,2,3,3,0,2,1997,28111.13,No
868,49,No,No Travel,Research & Development,10,4,Life Sciences,869,3,Male,3,5,Research Director,1,Single,9,Yes,3,4,0,4,3,3,1,2,1974,186650.0,Sí
869,31,No,Travel Frequently,Sales,5,3,Other,870,4,Male,3,1,Sales Representative,2,Divorced,1,Unknown,3,3,1,5,2,2,2,2,1992,27890.0,Sí
870,37,No,Travel Frequently,Research & Development,9,3,Medical,871,2,Female,3,1,Research Scientist,4,Married,1,Unknown,3,3,3,3,2,4,1,2,1986,28111.13,No
871,31,No,Travel Rarely,Research & Development,11,4,Other,872,11,Female,3,1,Research Scientist,4,Married,0,Unknown,3,3,1,4,3,5,0,3,1992,28111.13,Sí
872,31,No,Travel Rarely,Human Resources,2,3,Human Resources,873,1,Female,2,2,Human Resources,1,Unknown,3,No,3,4,0,1,3,2,1,0,1992,64100.0,No
873,31,No,No Travel,Research & Development,2,4,Other,874,3,Female,3,1,Research Scientist,4,Unknown,0,Unknown,3,2,1,2,1,2,2,2,1992,28111.13,Sí
874,52,Yes,No Travel,Research & Development,17,4,Medical,875,17,Female,2,2,Research Scientist,2,Unknown,2,No,3,1,0,3,2,8,7,7,1971,49410.0,No
875,28,Yes,No Travel,Research & Development,2,4,Medical,876,1,Female,1,1,Research Scientist,4,Married,5,Yes,3,4,0,4,2,3,2,2,1995,28111.08,Sí
876,47,No,Travel Rarely,Research & Development,5,5,Other,877,4,Female,3,5,Research Director,3,Married,4,Unknown,3,2,1,2,3,3,1,1,1976,191324.62,No
877,29,No,No Travel,Research & Development,9,5,Other,878,2,Female,2,1,Laboratory Technician,4,Unknown,0,No,3,3,0,2,3,3,2,2,1994,39830.0,Sí
878,37,No,No Travel,Research & Development,5,2,Medical,879,4,Female,3,2,Manufacturing Director,4,Unknown,7,No,3,3,2,2,2,6,0,4,1986,63470.04,Sí
879,23,No,No Travel,Research & Development,26,1,Other,880,3,Female,3,1,Research Scientist,4,Unknown,1,Unknown,3,3,2,2,2,4,0,2,2000,29040.0,No
880,42,No,Travel Rarely,Human Resources,2,1,Other,881,3,Female,3,1,Human Resources,3,Divorced,0,Yes,3,3,1,5,3,3,1,0,1981,26960.04,No
881,30,No,No Travel,Sales,25,2,Other,882,4,Male,3,2,Sales Executive,3,Unknown,7,Unknown,3,2,1,2,4,2,2,2,1993,53914.08,No
882,21,Yes,No Travel,Sales,31,1,Other,883,1,Male,2,1,Sales Representative,2,Single,1,Unknown,3,3,0,3,3,3,1,2,2002,21740.0,Sí
883,57,No,Travel Rarely,Research & Development,1,4,Medical,884,4,Female,3,2,Healthcare Representative,3,Unknown,2,No,3,3,0,2,3,3,1,2,1966,67550.04000000001,Sí
884,21,No,No Travel,Sales,9,2,Other,885,1,Female,3,1,Sales Representative,4,Single,1,Unknown,4,3,0,3,2,3,2,2,2002,28111.13,Sí
885,31,No,Travel Rarely,Research & Development,9,4,Life Sciences,886,3,Female,2,1,Research Scientist,2,Unknown,0,Unknown,3,4,0,5,3,2,2,2,1992,26570.0,Sí
886,29,No,No Travel,Research & Development,17,3,Other,887,17,Female,3,1,Research Scientist,4,Unknown,9,No,3,4,0,4,3,3,1,2,1994,28111.13,No
887,27,No,Travel Rarely,Research & Development,1,2,Other,888,4,Female,3,1,Laboratory Technician,2,Unknown,1,No,3,2,1,2,3,5,0,4,1996,28111.13,Sí
888,49,No,Travel Rarely,Research & Development,7,3,Other,889,2,Female,2,3,Healthcare Representative,3,Single,8,No,4,3,0,2,3,5,0,0,1974,109650.0,Sí
889,36,No,Travel Rarely,Research & Development,2,3,Other,890,4,Male,3,1,Research Scientist,3,Married,4,No,3,2,1,3,3,2,2,2,1987,25430.0,Sí
890,34,Yes,No Travel,Sales,19,3,Marketing,891,1,Female,4,2,Sales Executive,4,Unknown,8,Yes,3,2,0,3,2,5,0,4,1989,53040.0,Sí
891,24,No,No Travel,Sales,10,4,Marketing,892,4,Male,3,2,Sales Executive,3,Divorced,1,Yes,3,4,1,2,4,5,0,3,1999,53914.11,Sí
892,42,No,No Travel,Research & Development,1,4,Other,893,2,Male,3,1,Laboratory Technician,1,Unknown,3,No,3,2,1,5,3,5,1,2,1981,28111.13,Sí
893,54,No,No Travel,Research & Development,5,2,Medical,894,1,Female,3,5,Research Director,1,Married,4,Unknown,3,3,1,4,2,4,1,2,1969,194060.0,No
894,34,No,No Travel,Sales,4,4,Other,895,3,Male,3,2,Sales Executive,3,Married,9,No,3,1,1,3,3,3,1,2,1989,65380.0,Sí
895,43,No,No Travel,Research & Development,21,3,Other,896,4,Female,3,1,Laboratory Technician,4,Unknown,7,Unknown,4,1,1,1,3,3,1,2,1980,22580.04,Sí
896,43,No,Travel Rarely,Research & Development,8,4,Other,897,3,Male,3,2,Healthcare Representative,3,Unknown,4,Yes,3,4,0,3,3,5,0,2,1980,53914.11,Sí
897,31,No,Travel Rarely,Research & Development,1,2,Other,898,4,Female,2,1,Laboratory Technician,1,Married,1,No,3,3,1,3,3,4,3,2,1992,22180.0,No
898,25,Yes,Travel Rarely,Research & Development,3,3,Medical,899,1,Female,3,1,Laboratory Technician,1,Married,5,No,3,3,1,5,3,2,0,2,1998,28111.13,Sí
899,45,No,No Travel,Research & Development,10,2,Life Sciences,900,1,Female,3,1,Research Scientist,4,Married,3,No,3,4,2,3,2,2,0,2,1978,26540.0,Sí
900,52,No,Travel Rarely,Sales,4,2,Life Sciences,901,4,Male,3,4,Manager,4,Married,2,No,3,4,0,2,1,5,1,4,1971,153407.07,No
901,34,Yes,Travel Frequently,Sales,6,2,Other,902,4,Male,1,1,Sales Representative,3,Unknown,0,No,3,4,1,3,2,2,1,0,1989,28111.13,Sí
902,26,No,Travel Rarely,Research & Development,23,3,Life Sciences,903,1,Male,3,1,Research Scientist,4,Divorced,1,No,4,2,2,3,1,3,0,2,1997,28111.13,Sí
903,29,No,No Travel,Research & Development,3,4,Other,904,2,Female,2,3,Research Director,3,Unknown,1,No,3,3,0,2,3,10,0,7,1994,119350.0,Sí
904,29,Yes,No Travel,Research & Development,25,5,Technical Degree,905,3,Male,2,1,Research Scientist,2,Married,5,No,3,2,0,2,4,2,1,1,1994,25460.0,No
905,46,No,No Travel,Research & Development,2,3,Life Sciences,906,1,Female,3,4,Research Director,3,Married,6,No,3,3,0,2,1,3,0,1,1977,178610.0,No
906,46,No,No Travel,Sales,10,3,Marketing,907,3,Male,2,3,Sales Executive,4,Unknown,2,Unknown,3,3,1,3,3,3,1,2,1977,100071.84,No
907,30,No,Travel Rarely,Sales,7,1,Marketing,908,4,Female,3,1,Sales Representative,2,Single,0,Unknown,3,1,0,3,3,3,1,2,1993,28111.13,Sí
908,34,Yes,Travel Frequently,Human Resources,23,3,Other,909,2,Male,3,3,Human Resources,1,Divorced,9,Yes,3,3,3,2,3,3,0,2,1989,100071.84,No
909,42,No,No Travel,Research & Development,5,2,Other,910,2,Female,3,1,Laboratory Technician,3,Married,4,No,3,4,1,4,3,2,2,0,1981,28111.13,Sí
910,22,Yes,No Travel,Research & Development,25,1,Technical Degree,911,3,Female,2,1,Laboratory Technician,3,Single,5,No,3,3,0,3,3,2,1,2,2001,38940.0,Sí
911,29,No,Travel Rarely,Research & Development,19,3,Technical Degree,912,4,Female,3,2,Manufacturing Director,4,Divorced,4,No,3,2,2,2,4,3,1,2,1994,42620.0,Sí
912,46,No,Travel Frequently,Research & Development,18,1,Medical,913,1,Male,3,3,Healthcare Representative,3,Married,5,No,3,4,0,3,2,2,1,2,1977,105270.0,Sí
913,32,Yes,No Travel,Sales,11,4,Other,914,4,Female,4,2,Sales Executive,3,Unknown,8,Unknown,3,4,0,2,3,4,1,2,1991,53914.11,Sí
914,24,No,No Travel,Sales,24,3,Medical,915,4,Female,3,1,Sales Representative,4,Unknown,0,No,3,3,2,3,3,2,2,1,1999,24000.0,No
915,35,No,Travel Rarely,Research & Development,25,2,Other,916,1,Female,2,2,Laboratory Technician,4,Single,4,No,3,4,0,3,3,3,0,2,1988,36810.0,No
916,42,No,No Travel,Research & Development,2,4,Life Sciences,917,3,Male,3,2,Healthcare Representative,4,Married,1,No,3,2,2,4,3,10,2,2,1981,53914.11,Sí
917,48,No,Travel Rarely,Sales,1,4,Other,918,4,Male,2,4,Manager,1,Married,7,No,3,1,1,3,1,3,0,2,1975,153407.07,Sí
918,44,No,Travel Rarely,Human Resources,1,4,Other,919,1,Male,2,2,Human Resources,3,Unknown,4,No,3,2,0,1,4,2,0,2,1979,53914.11,Sí
919,34,No,No Travel,Sales,14,3,Other,920,3,Male,3,1,Sales Representative,3,Unknown,1,Yes,3,4,2,3,3,8,0,6,1989,28111.13,Sí
920,21,No,No Travel,Sales,22,1,Technical Degree,921,3,Female,3,1,Sales Representative,3,Unknown,1,Unknown,3,3,0,2,3,3,1,2,2002,34470.0,Sí
921,44,No,Travel Rarely,Sales,3,4,Other,922,4,Female,3,5,Manager,4,Unknown,4,Unknown,3,1,1,2,4,2,0,1,1979,195129.96,Sí
922,22,No,Travel Rarely,Research & Development,6,1,Medical,923,1,Female,3,1,Research Scientist,3,Married,0,Unknown,4,4,0,3,3,2,2,2,2001,28111.13,Sí
923,26,No,Travel Rarely,Research & Development,6,3,Other,924,3,Male,3,1,Laboratory Technician,4,Unknown,1,Yes,3,3,1,2,3,3,0,2,1997,26589.96,No
924,36,No,No Travel,Research & Development,9,2,Medical,925,2,Female,2,2,Manufacturing Director,2,Unknown,2,Yes,3,3,1,2,3,3,0,2,1987,88470.0,Sí
925,27,No,No Travel,Research & Development,3,4,Medical,926,1,Female,2,1,Research Scientist,4,Single,0,Unknown,3,4,0,0,3,4,1,1,1996,20450.0,Sí
926,23,No,Travel Rarely,Research & Development,4,3,Other,927,1,Female,4,1,Research Scientist,1,Unknown,2,Unknown,3,1,1,3,4,3,0,2,2000,28111.13,No
927,25,No,No Travel,Sales,8,3,Life Sciences,928,4,Female,4,2,Sales Executive,2,Unknown,0,No,4,3,1,4,3,3,1,2,1998,48510.0,No
928,48,No,No Travel,Sales,14,1,Other,929,14,Female,4,2,Sales Executive,2,Married,3,Unknown,3,4,0,3,3,2,2,2,1975,81200.0,Sí
929,24,Yes,Travel Rarely,Sales,3,2,Life Sciences,930,1,Male,3,2,Sales Executive,3,Single,9,No,3,1,0,3,3,2,2,0,1999,45770.0,Sí
930,60,No,Travel Rarely,Sales,16,4,Other,931,1,Female,3,2,Sales Executive,1,Single,8,No,3,4,0,1,3,2,2,2,1963,54050.0,No
931,50,No,No Travel,Sales,8,4,Marketing,932,4,Female,3,1,Sales Representative,2,Married,7,No,3,4,1,2,3,2,2,2,1973,28111.13,Sí
932,44,No,No Travel,Research & Development,24,3,Other,933,1,Female,1,1,Laboratory Technician,3,Single,2,Unknown,3,3,0,5,3,5,1,4,1979,37080.0,No
933,47,No,Travel Frequently,Sales,3,3,Other,934,4,Male,3,4,Sales Executive,3,Divorced,9,Yes,3,4,2,2,2,22,11,13,1976,137700.0,Sí
934,42,Yes,No Travel,Research & Development,19,3,Other,935,3,Female,4,1,Research Scientist,3,Divorced,6,Unknown,3,4,0,2,3,2,2,2,1981,28111.13,Sí
935,43,No,Travel Frequently,Sales,15,3,Life Sciences,936,4,Female,2,2,Sales Executive,4,Married,3,Unknown,3,3,1,5,3,2,2,2,1980,53914.11,Sí
936,40,No,No Travel,Research & Development,2,1,Other,937,4,Male,2,1,Research Scientist,4,Single,0,Unknown,4,4,0,2,2,4,2,3,1983,28111.13,No
937,29,No,No Travel,Sales,10,3,Other,938,4,Female,3,1,Sales Representative,2,Unknown,1,No,3,4,2,2,3,2,2,2,1994,22970.04,No
938,53,No,No Travel,Research & Development,6,3,Other,939,4,Female,3,2,Laboratory Technician,4,Single,2,Unknown,3,4,0,4,3,2,2,2,1970,24500.0,No
939,23,No,Travel Rarely,Research & Development,12,1,Medical,940,1,Female,4,1,Research Scientist,3,Single,1,Unknown,3,4,0,3,3,2,0,2,2000,28111.13,No
940,55,Yes,No Travel,Sales,2,3,Medical,941,4,Female,3,5,Manager,1,Unknown,5,Yes,3,4,1,2,3,5,1,4,1968,191324.63999999998,No
941,26,No,Travel Frequently,Research & Development,1,2,Life Sciences,942,1,Male,1,1,Laboratory Technician,4,Unknown,3,No,3,1,1,2,3,2,2,0,1997,28111.13,Sí
942,34,No,Travel Rarely,Research & Development,1,4,Other,943,2,Male,4,1,Research Scientist,4,Single,2,No,3,3,0,2,3,4,1,3,1989,28111.08,No
943,27,No,No Travel,Sales,8,1,Marketing,944,3,Female,3,2,Sales Executive,4,Married,0,Unknown,3,2,1,3,3,4,1,1,1996,43420.0,Sí
944,35,No,Travel Rarely,Sales,8,4,Other,945,1,Male,3,1,Sales Representative,4,Unknown,1,No,3,2,1,1,2,3,0,2,1988,25719.96,Sí
945,30,No,Travel Rarely,Research & Development,18,3,Other,946,4,Female,1,1,Laboratory Technician,3,Married,3,No,3,3,2,2,3,2,0,2,1993,28111.13,Sí
946,34,No,No Travel,Sales,8,2,Other,947,3,Male,3,2,Sales Executive,1,Unknown,5,No,3,2,1,1,3,3,1,2,1989,65000.04,Sí
947,52,No,Travel Rarely,Research & Development,25,4,Life Sciences,948,25,Male,3,2,Laboratory Technician,3,Unknown,8,Unknown,4,2,1,3,3,5,1,4,1971,31490.0,Sí
948,33,Yes,Travel Rarely,Sales,16,3,Marketing,949,1,Male,3,2,Sales Executive,1,Single,5,Unknown,3,3,0,3,3,3,0,2,1990,53240.0,No
949,35,No,Travel Rarely,Research & Development,20,4,Other,950,20,Male,4,1,Research Scientist,3,Single,3,No,3,3,0,0,3,2,2,2,1988,28111.13,No
950,28,Yes,No Travel,Research & Development,2,4,Other,951,3,Female,3,1,Research Scientist,3,Single,6,No,3,4,0,3,2,2,2,1,1995,43820.0,Sí
951,36,No,Travel Rarely,Human Resources,13,3,Human Resources,952,3,Female,3,1,Human Resources,2,Married,4,Unknown,3,2,1,2,3,5,0,4,1987,28111.13,Sí
952,34,No,Travel Frequently,Research & Development,16,4,Other,953,3,Male,2,1,Research Scientist,4,Single,1,No,3,3,0,3,3,5,1,3,1989,25530.0,Sí
953,34,No,No Travel,Human Resources,3,2,Other,954,3,Female,3,1,Human Resources,4,Unknown,0,Unknown,3,3,1,1,1,3,0,2,1989,28111.08,No
954,44,No,Travel Rarely,Research & Development,4,3,Other,955,4,Female,3,2,Healthcare Representative,2,Single,9,Unknown,3,4,0,2,2,5,2,3,1979,59330.0,Sí
